epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,144.706,1.02024,2.06645,2.70043,1.25071,0,0.56563,0.67081,0.63431,0.494,0.56362,0.66952,0.63556,0.47633,0.78953,1.44615,1.49016,1.09461,0,0.000331481,0.000331481,0.000331481
2,259.984,0.83487,1.47283,1.28959,1.12213,0,0.79265,0.77663,0.8445,0.68436,0.79646,0.77949,0.84643,0.63894,0.68555,1.40738,0.96467,1.01032,0,0.000658233,0.000658233,0.000658233
3,366.399,0.77229,1.39272,1.00461,1.0726,0,0.74678,0.79438,0.84414,0.66744,0.76412,0.78086,0.8493,0.60355,0.70124,1.45392,0.99467,1.00129,0,0.000978385,0.000978385,0.000978385
4,472.746,0.74543,1.35516,0.90874,1.04902,0,0.66483,0.76719,0.77314,0.64564,0.72476,0.70303,0.77485,0.60853,0.6556,1.36283,1.04259,0.97234,0,0.0009703,0.0009703,0.0009703
5,578.33,0.7356,1.31511,0.84076,1.03923,0,0.8026,0.83629,0.88826,0.74342,0.80451,0.83836,0.89113,0.69982,0.62598,1.24239,0.72658,0.94375,0,0.0009604,0.0009604,0.0009604
6,683.754,0.70996,1.29294,0.78655,1.02723,0,0.86883,0.85517,0.91602,0.77005,0.86683,0.85194,0.91375,0.72501,0.60762,1.21308,0.67846,0.94242,0,0.0009505,0.0009505,0.0009505
7,788.871,0.69698,1.26174,0.75756,1.02388,0,0.85013,0.85434,0.91438,0.77886,0.84912,0.85478,0.91521,0.739,0.59406,1.14692,0.64015,0.93126,0,0.0009406,0.0009406,0.0009406
8,895.806,0.68279,1.2397,0.72829,1.01707,0,0.81636,0.83098,0.90142,0.76252,0.8199,0.83332,0.90222,0.71673,0.5889,1.17394,0.73508,0.92132,0,0.0009307,0.0009307,0.0009307
9,1003.44,0.67095,1.22515,0.70646,1.00658,0,0.88007,0.90311,0.94693,0.81175,0.88242,0.90485,0.94804,0.76313,0.55699,1.11547,0.5557,0.90777,0,0.0009208,0.0009208,0.0009208
10,1109.38,0.66695,1.21523,0.69526,1.00649,0,0.85694,0.84247,0.92428,0.79281,0.85358,0.8391,0.92156,0.74569,0.5688,1.11745,0.62852,0.91071,0,0.0009109,0.0009109,0.0009109
11,1215.01,0.65804,1.19353,0.67185,1.00067,0,0.8461,0.86318,0.92033,0.7919,0.84548,0.86249,0.9202,0.74093,0.56077,1.13343,0.61271,0.91081,0,0.000901,0.000901,0.000901
12,1321.11,0.63958,1.17854,0.65666,0.98711,0,0.87448,0.89936,0.94675,0.81931,0.86439,0.90623,0.94402,0.76928,0.54671,1.10603,0.5122,0.90508,0,0.0008911,0.0008911,0.0008911
13,1432.16,0.62513,1.1503,0.62974,0.9786,0,0.88804,0.89189,0.94316,0.82442,0.88081,0.90571,0.94614,0.78576,0.54226,1.01759,0.49971,0.89623,0,0.0008812,0.0008812,0.0008812
14,1553.83,0.61859,1.14668,0.61122,0.97521,0,0.89143,0.88828,0.94906,0.82906,0.90033,0.87854,0.94937,0.78142,0.53083,1.04056,0.49656,0.89297,0,0.0008713,0.0008713,0.0008713
15,1677.6,0.60975,1.12952,0.60694,0.97078,0,0.89819,0.90441,0.94705,0.82815,0.89655,0.90404,0.94682,0.77912,0.52949,1.04601,0.48385,0.88949,0,0.0008614,0.0008614,0.0008614
16,1803.93,0.61074,1.1298,0.59139,0.97121,0,0.89923,0.88744,0.95124,0.82808,0.8975,0.88594,0.95028,0.78034,0.53627,1.03013,0.48049,0.89272,0,0.0008515,0.0008515,0.0008515
17,1922.36,0.60444,1.12396,0.58221,0.96803,0,0.8797,0.90875,0.94841,0.83483,0.88107,0.91016,0.94777,0.79562,0.50794,0.9835,0.48221,0.87807,0,0.0008416,0.0008416,0.0008416
18,2030.49,0.59253,1.09958,0.57495,0.96322,0,0.89843,0.89479,0.95053,0.826,0.89272,0.90343,0.9505,0.7881,0.54106,1.0062,0.48118,0.89811,0,0.0008317,0.0008317,0.0008317
19,2135.99,0.59137,1.095,0.56445,0.96269,0,0.8842,0.91294,0.95029,0.83672,0.88237,0.91252,0.94986,0.79377,0.51991,0.96851,0.47095,0.89187,0,0.0008218,0.0008218,0.0008218
20,2242.46,0.58682,1.09416,0.56285,0.9614,0,0.87576,0.9258,0.9548,0.84236,0.90058,0.89982,0.95483,0.80338,0.51052,0.99639,0.44042,0.87578,0,0.0008119,0.0008119,0.0008119
21,2349.61,0.58586,1.10036,0.55875,0.96145,0,0.88857,0.90872,0.95164,0.83536,0.89074,0.91061,0.95358,0.78996,0.51662,1.01855,0.46638,0.89235,0,0.000802,0.000802,0.000802
