epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,80.5951,1.00789,2.12307,2.17731,1.16948,0,0.64206,0.45508,0.54267,0.4116,0.48103,0.26302,0.21066,0.09678,0.91927,6.25753,2.10305,1.15163,0,0.000330952,0.000330952,0.0672357
2,135.801,0.85993,1.61687,1.42531,1.08232,0,0.74311,0.59466,0.70105,0.52871,0.74057,0.58668,0.68467,0.39624,0.88576,2.34197,1.69151,1.14024,0,0.000657709,0.000657709,0.0342291
3,190.366,0.83411,1.5469,1.21856,1.08033,0,0.71518,0.62152,0.697,0.50789,0.70911,0.61287,0.69012,0.44718,0.98504,2.14811,1.70036,1.21885,0,0.000977866,0.000977866,0.00121596
4,243.985,0.79351,1.49701,1.0808,1.05658,0,0.72818,0.78219,0.81965,0.64022,0.72781,0.77946,0.81465,0.55269,0.7653,1.86496,1.34699,1.08328,0,0.0009703,0.0009703,0.0009703
5,298.579,0.77438,1.46743,1.02928,1.05651,0,0.81534,0.76796,0.85656,0.68261,0.81434,0.76653,0.85147,0.62164,0.78039,1.55487,1.20097,1.10648,0,0.0009604,0.0009604,0.0009604
6,352.7,0.75783,1.44717,0.96107,1.04821,0,0.76486,0.76406,0.8255,0.65919,0.76655,0.76294,0.82209,0.60435,0.74426,1.53539,1.1884,1.06,0,0.0009505,0.0009505,0.0009505
7,406.287,0.73516,1.40969,0.91409,1.03925,0,0.80528,0.78009,0.84269,0.67205,0.80348,0.77549,0.83543,0.61648,0.75452,1.5099,1.16621,1.07355,0,0.0009406,0.0009406,0.0009406
8,459.546,0.73217,1.40539,0.89315,1.03457,0,0.84225,0.8057,0.89967,0.71991,0.84354,0.80618,0.89766,0.66433,0.74682,1.52109,1.05737,1.06953,0,0.0009307,0.0009307,0.0009307
9,512.748,0.71157,1.37746,0.85724,1.0298,0,0.8318,0.80384,0.88946,0.71161,0.83306,0.80076,0.8843,0.63793,0.71833,1.52999,1.01921,1.03716,0,0.0009208,0.0009208,0.0009208
10,566.507,0.69745,1.33951,0.81997,1.01991,0,0.83307,0.82759,0.89746,0.72712,0.83564,0.82335,0.89258,0.66289,0.71372,1.49517,1.00121,1.03668,0,0.0009109,0.0009109,0.0009109
