epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,79.2543,0.53763,1.12338,0.54005,0.9439,0,0.87082,0.85468,0.92425,0.81476,0.86942,0.85286,0.91969,0.68985,0.66889,1.83505,1.08898,1.05686,0,9.92857e-05,9.92857e-05,0.067004
2,133.649,0.50234,1.02351,0.49899,0.93202,0,0.95475,0.9381,0.97407,0.90716,0.92764,0.91223,0.92689,0.6266,0.5329,1.86424,0.85224,0.96945,0,0.00019534,0.00019534,0.0337668
3,187.885,0.4866,1.00452,0.48535,0.93103,0,0.96293,0.94166,0.97925,0.91802,0.96243,0.94289,0.97852,0.86015,0.47677,0.99492,0.66375,0.92568,0,0.000287434,0.000287434,0.000525529
4,242.241,0.47601,0.96017,0.45809,0.92046,0,0.96169,0.95253,0.9816,0.92228,0.96345,0.95167,0.98044,0.87074,0.46366,0.94337,0.63933,0.91316,0,0.00028218,0.00028218,0.00028218
5,296.602,0.48788,0.97531,0.47311,0.93164,0,0.96252,0.94806,0.98149,0.92204,0.96368,0.94795,0.98072,0.86842,0.46713,0.92904,0.6281,0.91191,0,0.00027624,0.00027624,0.00027624
6,350.807,0.48356,0.97321,0.45765,0.92792,0,0.96394,0.94571,0.98023,0.92001,0.96497,0.94673,0.97943,0.86369,0.46757,0.94022,0.63604,0.91402,0,0.0002703,0.0002703,0.0002703
7,404.779,0.4809,0.968,0.46038,0.92594,0,0.96221,0.95046,0.9812,0.91885,0.96158,0.9501,0.97972,0.86564,0.45421,0.91942,0.60066,0.90147,0,0.00026436,0.00026436,0.00026436
8,458.626,0.48613,0.97552,0.46764,0.92611,0,0.96131,0.95237,0.9818,0.91833,0.96137,0.95244,0.98001,0.86309,0.46049,0.94564,0.59006,0.89908,0,0.00025842,0.00025842,0.00025842
9,512.911,0.47843,0.9507,0.4557,0.92505,0,0.96184,0.95433,0.9826,0.92321,0.96167,0.95486,0.98028,0.869,0.4422,0.90753,0.57289,0.88937,0,0.00025248,0.00025248,0.00025248
10,566.353,0.46565,0.9337,0.44533,0.91774,0,0.96723,0.94909,0.98171,0.92221,0.96745,0.94872,0.98089,0.86725,0.44027,0.92384,0.5957,0.8896,0,0.00024654,0.00024654,0.00024654
11,619.989,0.47111,0.93432,0.45225,0.91901,0,0.9645,0.9549,0.98303,0.92256,0.96498,0.95491,0.98274,0.8726,0.4487,0.89249,0.55379,0.89535,0,0.0002406,0.0002406,0.0002406
12,673.718,0.4655,0.92114,0.44577,0.91521,0,0.96656,0.94614,0.98296,0.92068,0.96705,0.94685,0.9811,0.86752,0.44832,0.90596,0.56842,0.88979,0,0.00023466,0.00023466,0.00023466
13,728.196,0.47377,0.95285,0.44087,0.92001,0,0.96477,0.94986,0.98246,0.9236,0.96391,0.95142,0.98151,0.86964,0.43583,0.88936,0.56147,0.89034,0,0.00022872,0.00022872,0.00022872
14,782.643,0.46282,0.91887,0.4278,0.91513,0,0.96033,0.95387,0.9834,0.92063,0.9605,0.95461,0.98182,0.86651,0.44314,0.89199,0.54271,0.88455,0,0.00022278,0.00022278,0.00022278
15,836.734,0.47002,0.93094,0.43349,0.91818,0,0.9591,0.95587,0.98341,0.92223,0.96045,0.95482,0.98258,0.86961,0.44969,0.88203,0.5666,0.89215,0,0.00021684,0.00021684,0.00021684
16,890.796,0.4728,0.93215,0.43942,0.9165,0,0.96271,0.94463,0.98236,0.91962,0.96377,0.94447,0.9819,0.86347,0.44893,0.90059,0.54077,0.89284,0,0.0002109,0.0002109,0.0002109
17,944.453,0.45266,0.89837,0.42236,0.91194,0,0.95706,0.95618,0.9831,0.91917,0.95719,0.95632,0.98224,0.86687,0.44164,0.8802,0.54891,0.88389,0,0.00020496,0.00020496,0.00020496
18,997.947,0.46587,0.92437,0.42845,0.91372,0,0.9629,0.9497,0.98265,0.92015,0.96246,0.95109,0.98162,0.87049,0.43225,0.86664,0.53513,0.88214,0,0.00019902,0.00019902,0.00019902
19,1051.69,0.45708,0.91452,0.42766,0.91451,0,0.969,0.94909,0.9838,0.92258,0.96896,0.94931,0.98254,0.8694,0.43448,0.87703,0.53037,0.88344,0,0.00019308,0.00019308,0.00019308
20,1106.23,0.45712,0.90873,0.42874,0.91303,0,0.96073,0.94832,0.98379,0.9228,0.96055,0.94816,0.98293,0.86995,0.42956,0.85653,0.5297,0.87895,0,0.00018714,0.00018714,0.00018714
21,1160.64,0.46408,0.92843,0.42723,0.91377,0,0.96764,0.94138,0.98343,0.91603,0.96596,0.944,0.98279,0.86532,0.4424,0.87587,0.51594,0.8836,0,0.0001812,0.0001812,0.0001812
22,1214.77,0.45845,0.9094,0.41834,0.91301,0,0.95819,0.95628,0.98354,0.9215,0.95889,0.95589,0.98312,0.86953,0.42853,0.86405,0.51249,0.87686,0,0.00017526,0.00017526,0.00017526
23,1269.19,0.46012,0.90976,0.42547,0.91177,0,0.96184,0.95354,0.98372,0.91941,0.96204,0.95375,0.98312,0.8682,0.43293,0.86495,0.51324,0.87997,0,0.00016932,0.00016932,0.00016932
24,1323.11,0.44975,0.89455,0.41265,0.90745,0,0.95949,0.94925,0.98322,0.92023,0.9588,0.94899,0.98207,0.86484,0.43443,0.87813,0.52385,0.87903,0,0.00016338,0.00016338,0.00016338
25,1377.32,0.461,0.91084,0.41542,0.90954,0,0.96356,0.94935,0.98382,0.92208,0.96362,0.94916,0.98269,0.87105,0.43979,0.85199,0.49866,0.88589,0,0.00015744,0.00015744,0.00015744
26,1431.03,0.45989,0.91299,0.41894,0.91375,0,0.95565,0.95359,0.98329,0.92129,0.95642,0.95472,0.98234,0.86747,0.43822,0.86179,0.52607,0.87772,0,0.0001515,0.0001515,0.0001515
